date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:30	392492/392492	---M--	200	added ('OK')	text/html	etag:%225fd2c-56ec5f950fb80%22	http://www.babelstone.co.uk/Fonts/WOFF/BabelStoneTibetan.woff2	www.babelstone.co.uk/Fonts/WOFF/BabelStoneTibetan.html	(from http://www.babelstone.co.uk/Fonts/Tibetan.html)
12:55:41	28233/28233	---M--	200	added ('OK')	image/png	etag:%226e49-525980888e800%22	http://www.babelstone.co.uk/Fonts/Images/SaniYiChart.png	www.babelstone.co.uk/Fonts/Images/SaniYiChart.png	(from http://www.babelstone.co.uk/Fonts/YiScan.html)
12:56:02	491824/491824	---M--	200	added ('OK')	application/zip	etag:%2278130-56dd6e9e3c280%22	http://www.babelstone.co.uk/Fonts/Download/BabelStoneShuishu.zip	www.babelstone.co.uk/Fonts/Download/BabelStoneShuishu.zip	(from http://www.babelstone.co.uk/Fonts/Shuishu.html)
12:56:03	762/762	---M--	200	added ('OK')	text/plain	etag:%222fa-564a6f3c9f140%22	http://www.babelstone.co.uk/Fonts/Test/ZanabazarTest.txt	www.babelstone.co.uk/Fonts/Test/ZanabazarTest.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:07	11716/11716	---M--	200	added ('OK')	image/png	etag:%222dc4-564a6f3ab6cc0%22	http://www.babelstone.co.uk/Fonts/Test/ZanabazarTest.png	www.babelstone.co.uk/Fonts/Test/ZanabazarTest.png	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:07	675/675	---M--	200	added ('OK')	text/html	etag:%222a3-5646902fc8300%22	http://www.babelstone.co.uk/Fonts/Test/test.bat	www.babelstone.co.uk/Fonts/Test/test.html	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:08	362/362	---M--	200	added ('OK')	text/plain	etag:%2216a-56469031b0780%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_A.txt	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_A.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:11	8720/8720	---M--	200	added ('OK')	image/png	etag:%222210-564a6befaa7c0%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_A.png	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_A.png	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:11	206/206	---M--	200	added ('OK')	text/plain	etag:%22ce-56469032a49c0%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_B.txt	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_B.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:12	3047/3047	---M--	200	added ('OK')	image/png	etag:%22be7-564a6bf286e80%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_B.png	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_B.png	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:13	423/423	---M--	200	added ('OK')	text/plain	etag:%221a7-5646903398c00%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_C.txt	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_C.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:15	6012/6012	---M--	200	added ('OK')	image/png	etag:%22177c-564a6bf192c40%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_C.png	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_C.png	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:16	611/611	---M--	200	added ('OK')	text/plain	etag:%22263-564690348ce40%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_D.txt	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_D.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:20	10107/10107	---M--	200	added ('OK')	image/png	etag:%22277b-564a6bf192c40%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_D.png	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_D.png	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
12:56:20	851/851	---M--	200	added ('OK')	text/plain	etag:%22353-5646903581080%22	http://www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_E.txt	www.babelstone.co.uk/Fonts/Test/Zanabazar_Test_E.txt	(from http://www.babelstone.co.uk/Fonts/Zanabazar.html)
